week,temperature,observed,predicted,M,R0,a_T,b_T,c_T,b_vh,I_h,E_h
159,14.457042100625607,0.6283035271402586,12.767332820077119,7000000.0,0.0003328371688629813,0.014973976432681616,0.001,0.10857841197291809,0.006182855563222511,10.943428131494674,9.119523442912516
160,14.890920272329875,0.681639989546053,12.767332820077122,7000000.0,0.001683723837550366,0.02974585673047771,0.001,0.13226271341641854,0.012282264273332877,10.943428131494676,9.119523442912516
161,15.775559031606768,0.6507048413506928,12.767332820077122,7000000.0,0.01100474756016736,0.06140683843327253,0.001,0.1828373031251709,0.02535529652620615,10.943428131494677,9.119523442912516
162,16.995047489656532,0.5973683789448981,12.767332820077124,7000000.0,0.055050139798301395,0.10799212571583469,0.001,0.2569824636142622,0.04459067491311647,10.943428131494679,9.119523442912516
163,18.335153336387357,0.5440319165391034,12.767332820077128,7000000.0,15.129707412371232,0.16224064899339408,0.0788468870289706,0.34323290701031767,5.281973066027614,10.94342813149468,9.119523442912516
164,19.581119300186366,0.49069545413330884,12.76733282007713,7000000.0,75.09592462499945,0.21456320502215162,0.15982762310574938,0.4266282139263381,14.159862772933952,10.943428131494683,9.119523442912516
165,20.52487008158166,0.609102400674175,12.76733282007713,7000000.0,183.33147035807332,0.254761340302206,0.22321711249572312,0.4910272180049021,23.48080418296536,10.943428131494683,9.119523442912516
166,21.145246016525185,0.9291211751089409,12.767332820077131,7000000.0,300.2694299082866,0.28118965728629797,0.2654703750901069,0.5336066618250047,30.82246454897578,10.943428131494684,9.119523442912516
167,21.62857127073995,1.2491399495437068,12.767332820077133,7000000.0,423.15642425223837,0.301668491271694,0.2985477600845762,0.5667735912435874,37.18739221327939,10.943428131494686,9.119523442912516
168,22.17197968017587,1.5691587239784726,12.767332820077135,7000000.0,599.0905426498978,0.3244752486517493,0.33575785937116387,0.6039314109176187,44.98417055831547,10.943428131494688,9.119523442912516
169,22.972448852862012,1.9585148995407695,12.767332820077137,7000000.0,936.2900082694853,0.35741839077386584,0.39028128779213034,0.6581277598899073,57.59789083050734,10.94342813149469,9.119523442912516
170,24.124977394864718,2.8118982980334843,12.76733282007714,7000000.0,1576.7014045824112,0.40275975302919037,0.4671626217284076,0.734159475311618,77.69017662298981,10.943428131494692,9.119523442912516
171,25.44686711189984,3.665281696526199,12.76733282007714,7000000.0,2453.7964095735547,0.45015686410082534,0.5508150463346867,0.8166152627890684,102.38153291575027,10.943428131494692,9.119523442912516
172,26.708593885900964,4.518665095018914,12.767332820077142,7000000.0,3264.3657435125942,0.4886890683639357,0.6232837630768896,0.8881942091199694,125.76806916766039,10.943428131494693,9.119523442912516
173,27.680633598801656,5.372048493511629,12.767332820077144,7000000.0,3743.0368543040404,0.5122582797015568,0.6720275627528403,0.9368212077217591,142.14383495519394,10.943428131494695,9.119523442912516
174,28.169523158262287,5.841409362682614,12.767332820077147,7000000.0,3905.733356860596,0.5215911894058984,0.6935592178479721,0.9586150468256832,149.3708150697579,10.943428131494697,9.119523442912516
175,28.248312990205026,6.214764599523174,12.767332820077147,7000000.0,3926.165978248982,0.5229162260823885,0.6968158667712072,0.9619399411878343,150.45343419051275,10.943428131494699,9.119523442912516
176,28.109505668271957,6.5881198363637345,12.767332820077149,7000000.0,3889.0500722160104,0.5205473031054854,0.6910372604165113,0.9560462891223699,148.52980867402937,10.9434281314947,9.119523442912516
177,27.946167219632144,6.961475073204294,12.767332820077149,7000000.0,3838.8688241828877,0.5175588103797973,0.6839977955252111,0.948901077070825,146.17273191627325,10.9434281314947,9.119523442912516
178,27.945996901543076,8.237283253950892,12.767332820077153,7000000.0,3838.812923422372,0.5175555836441796,0.6839903235458865,0.9488935107324846,146.17022381980226,10.943428131494702,9.119523442912516
179,28.153961711072473,10.530751137400049,12.767332820077154,7000000.0,3901.499890840051,0.5213233751280054,0.6929087161533273,0.9579519866482309,149.15409403847863,10.943428131494704,9.119523442912516
180,28.460674164459498,12.824219020849204,12.767332820077156,7000000.0,3972.7071710043942,0.5262234733405914,0.7052780277508551,0.9706267692813759,153.24366381367344,10.943428131494706,9.119523442912516
181,28.749051097755665,15.11768690429836,12.767332820077158,7000000.0,4015.1868562865925,0.5300667635079954,0.7159948026607786,0.9817529391700842,156.708444368111,10.943428131494708,9.119523442912516
182,28.90210384705274,19.14352308668756,12.76733282007716,7000000.0,4027.6630693222205,0.5317861950307715,0.7212994097012061,0.9873288414239537,158.38155101625696,10.94342813149471,9.119523442912516
