week,temperature,observed,predicted,M,R0,phi,mu_m,a,b,c
143,16.4512096774194,2.75,14.160941625291624,1524123507.5468779,0.0,4.183484648152987,0.07175150894250748,0.08683725778822236,0.0,0.23236304579237932
144,14.8050806451613,0.5,14.136314058312122,1452766508.0160694,0.0,3.4017804514828356,0.08697198968132136,0.026781890452415646,0.0,0.13695596574186097
145,14.8050806451613,0.5,14.115452788552396,1354850545.568944,0.0,3.4017804514828356,0.08697198968132136,0.026781890452415646,0.0,0.13695596574186097
146,14.8050806451613,0.5,14.097782244033958,1264378422.2125087,0.0,3.4017804514828356,0.08697198968132136,0.026781890452415646,0.0,0.13695596574186097
147,14.8050806451613,0.5,14.08281473982126,1180734895.6475856,0.0,3.4017804514828356,0.08697198968132136,0.026781890452415646,0.0,0.13695596574186097
148,15.0386607142857,0.75,14.070137071422618,1103478519.9818318,0.0,3.5193004641262675,0.0846142896476404,0.03489375515586484,0.0,0.14990593349475717
149,15.0386607142857,0.75,14.059399148363308,1035906221.5022424,0.0,3.5193004641262675,0.0846142896476404,0.03489375515586484,0.0,0.14990593349475717
150,15.0386607142857,0.75,14.050304363492934,973582767.1260262,0.0,3.5193004641262675,0.0846142896476404,0.03489375515586484,0.0,0.14990593349475717
151,15.0386607142857,0.75,14.04260143150475,916189736.5981306,0.0,3.5193004641262675,0.0846142896476404,0.03489375515586484,0.0,0.14990593349475717
152,20.1391935483871,0.5,14.036077467749084,863376922.8609669,20.16264023337273,5.541370567637882,0.04945485071279909,0.23831127734964475,0.20142472927823632,0.4711515924310486
153,20.1391935483871,0.5,14.030552126797655,876303472.859232,20.464516934234812,5.541370567637882,0.04945485071279909,0.23831127734964475,0.20142472927823632,0.4711515924310486
154,20.1391935483871,0.5,14.025872632259627,893135304.104973,20.857594567989644,5.541370567637882,0.04945485071279909,0.23831127734964475,0.20142472927823632,0.4711515924310486
155,20.1391935483871,0.5,14.021909565705357,911927717.2257841,21.296458122063168,5.541370567637882,0.04945485071279909,0.23831127734964475,0.20142472927823632,0.4711515924310486
156,22.8470292887029,2.0,14.01855330336506,931139013.6013472,144.1026788876752,6.191997271196229,0.04347522830762768,0.3523209216938709,0.38758496452529506,0.6526230299565144
157,22.8470292887029,2.0,14.015710967496373,976926888.4822468,151.18879098751276,6.191997271196229,0.04347522830762768,0.3523209216938709,0.38758496452529506,0.6526230299565144
158,22.8470292887029,2.0,14.013303903656336,1020697377.6254793,157.96269332607827,6.191997271196229,0.04347522830762768,0.3523209216938709,0.38758496452529506,0.6526230299565144
159,22.8470292887029,2.0,14.011265478256332,1062591628.2567679,164.44622978816986,6.191997271196229,0.04347522830762768,0.3523209216938709,0.38758496452529506,0.6526230299565144
160,27.8200809716599,6.0,14.009539275168127,1102777591.6829255,727.4677666183532,6.622950963431627,0.05541187595535063,0.5151085456114066,0.6887369607691703,0.9334360227517287
161,27.8200809716599,6.0,14.008077486018479,1161092117.1443467,765.9360288670357,6.622950963431627,0.05541187595535063,0.5151085456114066,0.6887369607691703,0.9334360227517287
162,27.8200809716599,6.0,14.006839623916932,1211880301.1445885,799.4393998675963,6.622950963431627,0.05541187595535063,0.5151085456114066,0.6887369607691703,0.9334360227517287
163,27.8200809716599,6.0,14.005791403880293,1259030955.46982,830.5432067052243,6.622950963431627,0.05541187595535063,0.5151085456114066,0.6887369607691703,0.9334360227517287
164,27.9156666666667,7.75,14.004903779510817,1303616028.7354028,867.268089139724,6.621544424444446,0.05593200060000009,0.5169773537222017,0.6931230824356093,0.9373837261223902
165,27.9156666666667,7.75,14.00415215666569,1345713079.1132574,895.2743637135625,6.621544424444446,0.05593200060000009,0.5169773537222017,0.6931230824356093,0.9373837261223902
166,27.9156666666667,7.75,14.003515705891282,1385541001.27135,921.7710354198488,6.621544424444446,0.05593200060000009,0.5169773537222017,0.6931230824356093,0.9373837261223902
167,27.9156666666667,7.75,14.002976782975537,1423296880.5449302,946.8892209511762,6.621544424444446,0.05593200060000009,0.5169773537222017,0.6931230824356093,0.9373837261223902
168,28.8931174089069,18.5,14.002520448730959,1459102734.678255,1018.3495512801486,6.586184477700012,0.06188005271353414,0.5316916074429958,0.7328577181167159,0.9728125944140867
169,28.8931174089069,18.5,14.002134052330547,1488864900.249759,1039.121418287546,6.586184477700012,0.06188005271353414,0.5316916074429958,0.7328577181167159,0.9728125944140867
170,28.8931174089069,18.5,14.001806876398588,1515729779.1815152,1057.871186042167,6.586184477700012,0.06188005271353414,0.5316916074429958,0.7328577181167159,0.9728125944140867
171,28.8931174089069,18.5,14.001529841989905,1540804858.9095993,1075.3718017167987,6.586184477700012,0.06188005271353414,0.5316916074429958,0.7328577181167159,0.9728125944140867
172,28.2395967741935,87.25,14.001295278404044,1564400762.1559017,1065.7430713459469,6.614059932232053,0.05777618590400596,0.5227722031361043,0.7073613932908531,0.9501536063475898
173,28.2395967741935,87.25,14.00109668114841,1590119327.5653412,1083.2637626886788,6.614059932232053,0.05777618590400596,0.5227722031361043,0.7073613932908531,0.9501536063475898
174,28.2395967741935,87.25,14.000928525334839,1615237760.4496777,1100.3756156467775,6.614059932232053,0.05777618590400596,0.5227722031361043,0.7073613932908531,0.9501536063475898
175,28.2395967741935,87.25,14.00078615264571,1639179670.630897,1116.6859662344734,6.614059932232053,0.05777618590400596,0.5227722031361043,0.7073613932908531,0.9501536063475898
176,27.6331624825662,302.75,14.000665595745776,1661860194.868574,1076.1897380997434,6.624645355064738,0.054426451760888894,0.5112552153999491,0.6799292045000406,0.9254905013904307
177,27.6331624825662,302.75,14.000563524009008,1685819533.10949,1091.7053597062732,6.624645355064738,0.054426451760888894,0.5112552153999491,0.6799292045000406,0.9254905013904307
178,27.6331624825662,302.75,14.000477102129258,1709237135.695641,1106.87016338346,6.624645355064738,0.054426451760888894,0.5112552153999491,0.6799292045000406,0.9254905013904307
179,27.6331624825662,302.75,14.000403931797695,1731624313.9050894,1121.367683408557,6.624645355064738,0.054426451760888894,0.5112552153999491,0.6799292045000406,0.9254905013904307
