week,temperature,bi,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,S_h,E_h,I_h,R_h,R0
113,18.897147436798285,3.387327318833182,1.4752865501442756,2.8925213334162275e-05,4849143021.996435,1338379371.0962558,219210828.0386514,0.15570467959999978,0.0629549703596447,13997605.778919794,6.695722964279215e-06,2.8925213334162275e-05,2394.221044585398,0.0013634189704015839
114,19.83916832069129,3.4445845848674375,1.6886323997674535,2.4128295778995548e-05,8493076200.3098345,2108795430.8658667,393628218.2093945,0.41377231042232243,0.15966623052638104,13997605.778884059,2.296369067592952e-05,2.4128295778995548e-05,2394.221068849195,0.003003280160404536
115,20.78330782623384,3.482829381722908,1.9019782493906314,6.394480238233483e-05,16918697588.010403,4209441457.1819577,912810521.1477196,1.3933696837986684,0.5187033535783093,13997605.778727574,0.00010129975715993818,6.394480238233483e-05,2394.221107181166,0.007196558013155374
116,21.696351322847946,3.4644105217905263,2.1153240990138094,0.0002947016644059625,34448928133.839714,9216293853.722319,2427209088.896952,5.3296403180323235,1.992046378260551,13997605.777924873,0.000523215521771036,0.0002947016644059625,2394.2212572098792,0.01740064030760434
117,22.545092776831872,3.351688676873817,2.314269103787422,0.0015328432940761051,65520842319.53564,19397673504.678814,6422410506.956655,19.960379294948048,7.919590337022464,13997605.773683576,0.0027678390975722994,0.0015328432940761051,2394.222015741695,0.03912790199681887
118,23.311563651881183,3.1280446850064867,2.3676055661932165,0.007525884128874723,110517248250.79395,36326137611.18706,15350270724.488014,65.37597445714408,28.871826935229862,13997605.753494933,0.013131427728191432,0.007525884128874723,2394.2258477548953,0.0779166847375205
119,24.024418866158975,2.841176557678031,2.420942028599011,0.03163739993973287,162174718612.59305,58758474118.42577,31775863194.377686,178.01544594356565,90.24885710586837,13997605.6736939,0.051698658434410356,0.03163739993973287,2394.242970040698,0.1365241770026149
120,24.721199972473432,2.5510414413655536,2.4742784910048052,0.11009798330666261,211246874160.30704,83153162747.93747,57031382537.69859,403.8873260251638,238.1399664812263,13997605.416565852,0.16626585925939377,0.11009798330666261,2394.307070305194,0.21282799645284597
121,25.439448523632745,2.31759648254616,2.5276149534105996,0.31816563944525267,252323001218.61993,106066351491.45541,90508373670.89426,780.9360062694907,536.2368417692643,13997604.732689604,0.4427551238820054,0.31816563944525267,2394.5063896325096,0.2987204486547426
122,26.208069867514023,2.193588429637068,3.026844241528831,0.7759801179344061,287340321115.39514,126589867028.00618,130083956237.83661,1319.2101509266422,1049.004633664223,13997603.2006537,0.9961359760790102,0.7759801179344061,2395.0272302058283,0.3791064841102019
123,26.98325852499926,2.171057504278665,3.6668817903983646,1.6220696615191141,324956589513.8789,147160441429.69485,173066857616.9853,1983.7298964662912,1809.0335543158526,13997600.2676555,1.921172364139123,1.6220696615191141,2396.189102475062,0.43504804334508534
124,27.684786870879005,2.211634949444135,4.306919339267899,2.9323706716272055,367532899124.3755,169197955572.0383,215861279206.24176,2679.6744105606094,2773.031448724622,13997595.447552858,3.1926508371105533,2.9323706716272055,2398.4274256333415,0.45951123241996494
125,28.232155313146162,2.2767249420648317,4.946956888137432,4.624719625517618,410311976726.6604,191353046575.24774,254105165635.96942,3286.180205746999,3809.1590391252553,13997588.578239964,4.6161035087954545,4.624719625517618,2402.180936901366,0.4629915878950641
126,28.54726902591919,2.3284333836907085,5.678733152344932,6.465649821169616,447570206832.30975,211236580097.1989,284859564074.393,3736.798833475975,4763.378152951395,13997579.865264544,5.944919968827345,6.465649821169616,2407.7241656657393,0.464627255505382
127,28.63085958824092,2.3518681752526955,6.532116550837643,8.227051105600994,475783770036.51105,227041155785.3791,309184321670.1472,4079.444419271449,5575.633798638486,13997569.603055358,7.086216540052293,8.227051105600994,2415.083676996414,0.47662133198905976
128,28.578301870732894,2.3597546757707444,7.385499949330355,9.838569990192658,496705679879.02637,239032117008.62952,330860228865.9713,4419.3356992242025,6307.419599405513,13997557.900200402,8.13268204613538,9.838569990192658,2424.1285475613076,0.4978991566117078
129,28.490572085446868,2.3664527479851443,8.238883347823066,11.369666528329452,514822422228.42584,248982348403.10217,352523767615.131,4812.146706129122,7047.735670265983,13997544.692298992,9.202190306928381,11.369666528329452,2434.7358441731362,0.5221743577531301
130,28.468620416898478,2.386318239927476,9.844310866237441,12.917599938196984,532810426061.4118,258364676830.4989,374657932213.6779,5252.117309028264,7841.750130649597,13997529.859382346,10.34768288138172,12.917599938196984,2446.875334834149,0.5404138789327269
131,28.578858509216985,2.42837948117248,18.218135463947206,14.509613517070301,552248401945.2354,268144840260.77902,395572717340.3435,5679.04752217279,8655.857732365768,13997513.392282762,11.512286544615291,14.509613517070301,2460.5858171766813,0.5443618504576522
132,28.78507143174372,2.4858348048553274,26.59196006165697,16.047557404157487,573018413136.3696,278498845473.9261,412164818159.4392,5998.092014292706,9376.495510562709,13997495.552828524,12.525614982846172,16.047557404157487,2475.8739990887348,0.534085752840637
133,29.03207018001318,2.548955821462329,34.96578465936673,17.33836037534478,591984996575.9529,288260636271.5415,422169344075.0355,6145.450696966801,9878.240862084076,13997476.860769365,13.20658542146169,17.33836037534478,2492.594284838211,0.5134349679679586
134,29.264665749559825,2.608014141479794,43.339609257076496,18.18059714282487,605977567617.3058,295947306168.50244,424569554073.3592,6101.64123531627,10075.557086277106,13997457.98844747,13.434869334611493,18.18059714282487,2510.3960860519733,0.48868667697859297
135,29.42921956191044,2.6532842935118146,53.027644288465005,18.460313841892756,613477885798.4374,300621639795.59283,420213941578.44714,5903.203642861391,9963.647124287249,13997439.557612587,13.218439054335601,18.460313841892756,2528.763634517005,0.4675288079793979
136,29.484723430826737,2.6750645783207774,63.10823568316013,18.221926214412342,615343839961.1598,302359681213.9849,412199892581.695,5641.963175340425,9636.296734470541,13997421.921163522,12.71446421721992,18.221926214412342,2547.142446046661,0.45680276304797335
